ibge,uf,nome,slug,provider_family,schema_package,tipo_suporte,status_homologacao,observacao
3156700,MG,Sabará,sabara,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
3157005,MG,Salinas,salinas,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
3158300,MG,"Santana da Vargem",santana-da-vargem,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
3167202,MG,"Sete Lagoas",sete-lagoas,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
3161809,MG,"São Gonçalo do Pará",sao-goncalo-do-para,WEBISS,WEBISS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
3162922,MG,"São Joaquim de Bicas",sao-joaquim-de-bicas,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
3162955,MG,"São José da Lapa",sao-jose-da-lapa,SONNER,SONNER,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
3162500,MG,"São João del Rei",sao-joao-del-rei,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
3162708,MG,"São João do Paraíso",sao-joao-do-paraiso,EL,EL,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
3164704,MG,"São Sebastião do Paraíso",sao-sebastiao-do-paraiso,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
3168002,MG,Taiobeiras,taiobeiras,EL,EL,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
3168606,MG,"Teófilo Otoni",teofilo-otoni,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
3168705,MG,Timóteo,timoteo,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
3170107,MG,Uberaba,uberaba,WEBISS,WEBISS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
3170206,MG,Uberlândia,uberlandia,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
3170701,MG,Varginha,varginha,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
3172004,MG,"Visconde do Rio Branco",visconde-do-rio-branco,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
5000609,MS,Amambai,amambai,FIORILLI,FIORILLI,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5002407,MS,Caarapó,caarapo,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5002704,MS,"Campo Grande",campo-grande,ABRASF_SHARED,ABRASF_SHARED,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5003207,MS,Corumbá,corumba,FIORILLI,FIORILLI,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5003454,MS,Deodápolis,deodapolis,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5003801,MS,"Fátima do Sul",fatima-do-sul,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
5004601,MS,Itaquiraí,itaquirai,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5005400,MS,Maracaju,maracaju,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5005681,MS,"Mundo Novo",mundo-novo,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5005707,MS,Naviraí,navirai,ELOTECH,ELOTECH,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5006200,MS,"Nova Andradina",nova-andradina,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
5006259,MS,"Novo Horizonte do Sul",novo-horizonte-do-sul,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5006903,MS,"Porto Murtinho",porto-murtinho,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5007109,MS,"Ribas do Rio Pardo",ribas-do-rio-pardo,FIORILLI,FIORILLI,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5007208,MS,"Rio Brilhante",rio-brilhante,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5007406,MS,"Rio Verde de Mato Grosso",rio-verde-de-mato-grosso,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5007976,MS,Taquarussu,taquarussu,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5008305,MS,"Três Lagoas",tres-lagoas,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
5101803,MT,"Barra do Garças",barra-do-garcas,COPLAN,COPLAN,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5102637,MT,"Campo Novo do Parecis",campo-novo-do-parecis,COPLAN,COPLAN,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5103205,MT,Colíder,colider,COPLAN,COPLAN,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5103403,MT,Cuiabá,cuiaba,ISSNET,ISSNET,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5102504,MT,Cáceres,caceres,RLZ_INFORMATICA,RLZ_INFORMATICA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5104104,MT,"Guarantã do Norte",guaranta-do-norte,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
5104542,MT,Itanhangá,itanhanga,WEBISS,WEBISS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5105200,MT,Juscimeira,juscimeira,COPLAN,COPLAN,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5105259,MT,"Lucas do Rio Verde",lucas-do-rio-verde,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
5105606,MT,Matupá,matupa,COPLAN,COPLAN,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5106224,MT,"Nova Mutum",nova-mutum,COPLAN,COPLAN,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5106422,MT,"Peixoto de Azevedo",peixoto-de-azevedo,COPLAN,COPLAN,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5107040,MT,"Primavera do Leste",primavera-do-leste,RLZ_INFORMATICA,RLZ_INFORMATICA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5107602,MT,Rondonópolis,rondonopolis,AGILI,AGILI,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5107909,MT,Sinop,sinop,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
5107925,MT,Sorriso,sorriso,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
5107305,MT,"São José do Rio Claro",sao-jose-do-rio-claro,COPLAN,COPLAN,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5107958,MT,"Tangará da Serra",tangara-da-serra,CENTI,CENTI,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5108600,MT,"Vila Rica",vila-rica,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
5108402,MT,"Várzea Grande",varzea-grande,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
5100201,MT,"Água Boa",agua-boa,COPLAN,COPLAN,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
1500800,PA,Ananindeua,ananindeua,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
1501402,PA,Belem,belem,BELEM_MUNICIPAL_2025,BELEM_MUNICIPAL_2025,MUNICIPAL,HOMOLOGADO_MUNICIPAL,"Belem homologado no provider municipal ABRASF."
1502152,PA,"Canaã dos Carajás",canaa-dos-carajas,FIORILLI,FIORILLI,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
1502400,PA,Castanhal,castanhal,ABRASF_SHARED,ABRASF_SHARED,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,"ABRASF compartilhado semelhante a Belem; homologacao real pendente."
1503606,PA,Itaituba,itaituba,FIORILLI,FIORILLI,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
1504208,PA,Marabá,maraba,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
1505502,PA,Paragominas,paragominas,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
1506138,PA,Redenção,redencao,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
2503209,PB,Cabedelo,cabedelo,TINUS,TINUS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2504009,PB,"Campina Grande",campina-grande,WEBISS,WEBISS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2507507,PB,"João Pessoa",joao-pessoa,ABRASF_SHARED,ABRASF_SHARED,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2601102,PE,Araripina,araripina,HM2SOLUCOES,HM2SOLUCOES,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2602902,PE,"Cabo de Santo Agostinho",cabo-de-santo-agostinho,TINUS,TINUS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2604106,PE,Caruaru,caruaru,GINFES,GINFES,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2606002,PE,Garanhuns,garanhuns,TINUS,TINUS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2606200,PE,Goiana,goiana,TINUS,TINUS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2606408,PE,Gravatá,gravata,TRIBUTUS,TRIBUTUS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2607208,PE,Ipojuca,ipojuca,TINUS,TINUS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2607901,PE,"Jaboatão dos Guararapes",jaboatao-dos-guararapes,TINUS,TINUS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2609600,PE,Olinda,olinda,TINUS,TINUS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2610004,PE,Palmares,palmares,TRIBUTUS,TRIBUTUS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2610707,PE,Paulista,paulista,GISSONLINE,GISSONLINE,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2611606,PE,Recife,recife,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
2612505,PE,"Santa Cruz do Capibaribe",santa-cruz-do-capibaribe,TINUS,TINUS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2616407,PE,"Vitória de Santo Antão",vitoria-de-santo-antao,TINUS,TINUS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2205953,PI,Marcolândia,marcolandia,FIORILLI,FIORILLI,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2211001,PI,Teresina,teresina,ABRASF_SHARED,ABRASF_SHARED,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4100400,PR,"Almirante Tamandaré",almirante-tamandare,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4101408,PR,Apucarana,apucarana,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4101606,PR,Arapoti,arapoti,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4102109,PR,Astorga,astorga,ELOTECH,ELOTECH,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4102307,PR,"Balsa Nova",balsa-nova,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4102406,PR,Bandeirantes,bandeirantes,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4103453,PR,Cafelândia,cafelandia,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4104006,PR,"Campina Grande do Sul",campina-grande-do-sul,ELOTECH,ELOTECH,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4104204,PR,"Campo Largo",campo-largo,IPM,IPM,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4104303,PR,"Campo Mourão",campo-mourao,IPM,IPM,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4104428,PR,Candói,candoi,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4104501,PR,Capanema,capanema,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4104808,PR,Cascavel,cascavel,IPM,IPM,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4104907,PR,Castro,castro,IPM,IPM,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4105508,PR,Cianorte,cianorte,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4105805,PR,Colombo,colombo,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4106902,PR,Curitiba,curitiba,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4107207,PR,"Dois Vizinhos",dois-vizinhos,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4107652,PR,"Fazenda Rio Grande",fazenda-rio-grande,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4108304,PR,"Foz do Iguaçu",foz-do-iguacu,WEBISS,WEBISS,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4108403,PR,"Francisco Beltrão",francisco-beltrao,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4109401,PR,Guarapuava,guarapuava,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4108809,PR,Guaíra,guaira,IPM,IPM,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4109708,PR,Ibaiti,ibaiti,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4110102,PR,Imbituva,imbituva,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4110706,PR,Irati,irati,ELOTECH,ELOTECH,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4111902,PR,Jaguapitã,jaguapita,ELOTECH,ELOTECH,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4112009,PR,Jaguariaíva,jaguariaiva,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4113254,PR,Laranjal,laranjal,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4113304,PR,"Laranjeiras do Sul",laranjeiras-do-sul,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4113502,PR,Loanda,loanda,ELOTECH,ELOTECH,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4113700,PR,Londrina,londrina,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4114104,PR,Mandaguaçu,mandaguacu,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4114609,PR,"Marechal Cândido Rondon",marechal-candido-rondon,IPM,IPM,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4114807,PR,Marialva,marialva,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4115002,PR,Marilena,marilena,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4115200,PR,Maringá,maringa,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
4115804,PR,Medianeira,medianeira,ELOTECH,ELOTECH,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4116059,PR,Missal,missal,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4117701,PR,Palmeira,palmeira,ELOTECH,ELOTECH,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4117800,PR,Palmital,palmital,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4118204,PR,Paranaguá,paranagua,IPM,IPM,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4118402,PR,Paranavaí,paranavai,IPM,IPM,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4118006,PR,"Paraíso do Norte",paraiso-do-norte,IPM,IPM,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4118501,PR,"Pato Branco",pato-branco,PRONIN,PRONIN,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4119152,PR,Pinhais,pinhais,IPM,IPM,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4119509,PR,Piraquara,piraquara,ELOTECH,ELOTECH,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4119905,PR,"Ponta Grossa",ponta-grossa,ELOTECH,ELOTECH,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4120358,PR,Pranchita,pranchita,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4120408,PR,"Presidente Castelo Branco",presidente-castelo-branco,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4120606,PR,Prudentópolis,prudentopolis,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4120804,PR,"Quatro Barras",quatro-barras,ELOTECH,ELOTECH,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4122008,PR,"Rio Azul",rio-azul,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4122404,PR,Rolândia,rolandia,PRONIN,PRONIN,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4124020,PR,"Santa Tereza do Oeste",santa-tereza-do-oeste,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4124053,PR,"Santa Terezinha de Itaipu",santa-terezinha-de-itaipu,PRONIN,PRONIN,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4124103,PR,"Santo Antônio da Platina",santo-antonio-da-platina,IPM,IPM,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
4124400,PR,"Santo Antônio do Sudoeste",santo-antonio-do-sudoeste,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
